,GP,MIN per game,AST per game,Passes per game,Total AST,FT Assists per game,Secondary Assists per game,Assist opportunities per game,Points created by assist per game,Points Created by AST Per 48 Min
Player,,,,,,,,,,
Roy Hibbert (IND),81,29.9,1.1,26.2,91,0.1,0.4,2.4,2.6,4.1
Ronny Turiaf (MIN),31,19.5,0.8,19.1,24,0.1,0.3,2.1,2,4.9
Ronnie Price (ORL),31,12.2,2.1,17.8,66,0.1,0.4,4.1,4.6,18.1
Ronnie Brewer (CHI),1,2.1,0,2,0,0,0,0,0,0
Ronnie Brewer (HOU),23,6.9,0.4,5.7,10,0,0.1,0.8,1.1,7.8
Ronnie Brewer (TOTAL),24,6.7,0.4,5.6,10,0,0,0,0,0
Roger Mason Jr. (MIA),25,10.5,0.8,9.9,19,0,0.2,1.5,1.8,8.1
Rodney Stuckey (DET),73,26.9,2.1,22.8,152,0.4,0.2,4.1,4.9,8.7
Robin Lopez (POR),82,31.9,0.9,24.6,73,0,0.3,2,2.2,3.3
Robert Sacre (LAL),65,16.9,0.8,20.3,51,0.1,0.3,1.9,2.1,6
Robert Covington (HOU),7,4.9,0,3.1,0,0,0,0.3,0,0
Robbie Hummel (MIN),53,12.5,0.4,13.9,23,0.1,0.2,1.1,1,4
Ricky Rubio (MIN),82,32.4,8.6,69.8,704,1.4,2,17.2,20.4,30.2
Ricky Ledo (DAL),11,3,0.2,2.8,2,0,0.1,0.2,0.5,7.2
Richard Jefferson (UTA),82,27.1,1.6,27.9,130,0.3,0.5,3.2,3.8,6.7
Reggie Williams (OKC),3,5.6,0.3,6.3,1,0,0,0.7,0.7,5.7
Reggie Jackson (OKC),80,28.7,4.1,42.6,331,0.4,1.1,8.6,9.7,16.2
Reggie Evans (SAC),24,20.9,0.7,19.3,16,0.1,0.1,1.2,1.7,3.9
Reggie Evans (TOTAL),54,16.7,0.4,15.8,21,0.1,0.1,0.8,1,2.8
Reggie Evans (BKN),30,13.4,0.2,13.1,5,0,0.1,0.5,0.4,1.4
Reggie Bullock (LAC),43,9.3,0.3,6.7,12,0,0.1,0.8,0.7,3.5
Raymond Felton (NYK),65,31.2,5.6,56.3,365,0.2,0.8,10.6,13.5,20.8
Ray McCallum (SAC),45,20,2.7,32.5,120,0.4,0.4,5.8,6.2,14.9
Ray Allen (MIA),73,26.8,2,22.7,143,0.3,0.4,3.5,4.9,8.8
Rasual Butler (IND),50,7.6,0.3,5.9,17,0.1,0.1,0.7,0.8,5.3
Rashard Lewis (MIA),60,16.3,0.9,19.2,57,0.1,0.4,1.6,2.4,6.9
Randy Foye (DEN),81,30.9,3.5,28,287,0.7,0.7,6.7,8.4,13.1
Ramon Sessions (MIL),28,32.7,4.8,51,134,0.6,1.1,9.7,10.9,16
Ramon Sessions (TOTAL),83,26.8,4.1,44,340,0.4,0.9,8.4,9.5,17
Ramon Sessions (CHA),55,23.8,3.7,40.4,206,0.4,0.8,7.8,8.7,17.6
Rajon Rondo (BOS),30,33.6,9.8,74,294,1,1.5,20,23,32.9
Quincy Pondexter (MEM),15,18.1,1.3,14.9,20,0.2,0.1,2.5,3.1,8.1
Quincy Miller (DEN),52,15.3,0.5,10.5,26,0,0.2,1.3,1.2,3.8
Quincy Acy (TOR),7,8.8,0.6,13.3,4,0.1,0,1.1,1.6,8.6
Quincy Acy (TOTAL),63,13.5,0.4,15.7,28,0,0,0.9,1,3.7
Quincy Acy (SAC),56,14.1,0.4,16,24,0,0,0.9,1,3.4
Phil Pressey (BOS),75,15.2,3.2,29.4,241,0.4,0.7,6.1,7.4,23.4
Peyton Siva (DET),24,9.4,1.4,15.5,34,0.2,0.8,3.3,3.6,18.4
Perry Jones (OKC),62,12.4,0.4,9.8,26,0,0.1,0.7,1,3.8
Pero Antic (ATL),49,18.5,1.2,23.5,57,0.1,0.3,2.5,2.9,7.4
Paul Pierce (BKN),74,28.1,2.3,32.8,172,0.3,0.6,4.9,5.7,9.8
Paul Millsap (ATL),73,33.7,3.2,44.1,231,0.3,0.8,6.1,7.7,10.9
Paul George (IND),80,36.4,3.5,46,283,0.3,0.8,7.5,8.1,10.7
Pau Gasol (LAL),60,31.6,3.4,50,201,0.2,0.6,7,8,12.2
Patty Mills (SAS),81,19,1.8,32.6,149,0.4,0.7,3.8,4.6,11.5
Patrick Patterson (TOTAL),64,23.7,1.2,30.2,75,0.1,0.4,2.3,3,6.1
Patrick Patterson (TOR),48,23.4,1.3,30.1,63,0.1,0.3,2.4,3.4,6.9
Patrick Patterson (SAC),16,24.4,0.8,30.4,12,0.1,0.5,1.9,1.8,3.6
Patrick Beverley (HOU),56,31.5,2.7,47.7,151,0.3,1.1,5.6,6.5,9.9
Pablo Prigioni (NYK),66,19.5,3.5,40.7,228,0.3,0.5,7.3,8.2,20.2
PJ Tucker (PHX),81,30.9,1.7,27.9,141,0.3,0.4,3.8,4.3,6.7
Otto Porter (WAS),37,8.6,0.3,8.1,10,0,0.1,0.7,0.6,3.6
Othyus Jeffers (TOTAL),6,7.9,0.2,5.8,1,0,0,0.5,0.3,2
Othyus Jeffers (MIN),2,6.6,0,5.5,0,0.5,0,0,0,0
Othyus Jeffers (SAS),4,8.5,0.3,6,1,0,0,0.8,0.5,2.8
Orlando Johnson (IND),38,9.1,0.4,8.8,16,0.1,0.1,0.9,1.2,6.1
Orlando Johnson (TOTAL),45,8.8,0.4,8.3,20,0.1,0.1,0.9,1.2,6.6
Orlando Johnson (SAC),7,7.2,0.6,5.7,4,0.1,0.1,0.7,1.4,9.5
Omri Casspi (HOU),71,18.2,1.2,24.2,88,0.1,0.3,2.3,3,8
Omer Asik (HOU),48,20.3,0.5,24.2,25,0.1,0.3,1.2,1.4,3.3
Ognjen Kuzmic (GSW),21,4.4,0.1,3.3,2,0,0,0.1,0.1,1.5
O.J. Mayo (MIL),51,25.9,2.1,25.5,105,0.3,0.4,4.4,4.7,8.7
Norris Cole (MIA),82,24.8,3,40,248,0.4,0.6,6.1,7,13.6
Nikola Vucevic (ORL),57,31.9,1.8,46.9,104,0.1,0.5,3.4,4.3,6.5
Nikola Pekovic (MIN),54,31,0.9,23.1,50,0.1,0.5,1.9,2.3,3.6
Nicolas Batum (POR),82,36.2,5.1,54.1,420,0.7,0.9,9.4,12,15.9
Nick Young (LAL),64,28.5,1.5,21.9,95,0.2,0.3,3.4,3.5,5.9
Nick Collison (OKC),81,16.8,1.3,26.6,104,0.2,0.4,2.7,3.1,8.9
Nick Calathes (MEM),71,16.6,2.9,33.5,207,0.3,0.9,5.7,6.7,19.4
Nene (WAS),53,29.6,2.9,32.9,153,0.4,0.6,5.8,6.7,10.8
Nemanja Nedovic (GSW),23,5.9,0.5,7.5,12,0.1,0.1,1.2,1.3,11
Nazr Mohammed (CHI),80,7.1,0.3,6.7,20,0,0,0.5,0.6,3.7
Nate Wolters (MIL),57,22.4,3.1,38.1,177,0.5,0.9,6.5,7.6,16.3
Nate Robinson (DEN),44,19.8,2.5,23.8,112,0.7,0.7,4.8,6.2,14.9
Nando De Colo (TOTAL),47,10.6,1.4,14.6,65,0.2,0.3,2.4,3.4,15.3
Nando De Colo (TOR),21,9.2,1.6,12.6,33,0.3,0.3,2.7,4,20.8
Nando De Colo (SAS),26,11.7,1.2,16.2,32,0.1,0.4,2.3,2.9,11.9
Mustafa Shakur (OKC),3,3.9,1.3,6,4,0,0,3,3.3,41.4
Monta Ellis (DAL),82,37,5.7,46.6,471,0.4,1.2,11.2,13.7,17.8
Mo Williams (POR),74,24.9,4.3,41.5,321,0.5,0.7,8.6,10.3,19.9
Mirza Teletovic (BKN),71,19.4,0.8,22.9,56,0.1,0.2,1.7,1.9,4.7
Miroslav Raduljica (MIL),48,9.7,0.5,10.1,23,0.1,0.1,1,1,5.1
Miles Plumlee (PHX),80,24.7,0.5,29.2,43,0.1,0.3,1.6,1.4,2.7
Mike Scott (ATL),79,18.5,0.9,20.6,71,0.2,0.3,1.9,2.3,5.8
Mike Muscala (ATL),20,10.8,0.3,16.6,7,0,0.3,0.8,0.8,3.6
Mike Miller (MEM),82,21,1.6,23.7,130,0.3,0.5,3.3,3.7,8.4
Mike James (CHI),11,7.1,1.5,12.7,17,0.1,0.2,2.7,3.4,22.9
Mike Harris (UTA),20,11.3,0.3,13,5,0.3,0.2,0.7,0.8,3.6
Mike Dunleavy (CHI),82,31.7,2.3,31.4,186,0.3,0.5,4.5,5.2,7.8
Mike Conley (MEM),73,33.7,6,65.8,441,0.8,2,11.9,13.6,19.4
Michael Kidd-Gilchrist (CHA),61,24.1,0.8,18,51,0.1,0.3,2,1.9,3.8
Michael Carter-Williams (PHI),70,34.6,6.3,62.9,441,0.5,1.5,12.4,14.9,20.6
Michael Beasley (MIA),55,15.3,0.8,16.8,42,0.1,0.2,1.5,1.9,6
Meyers Leonard (POR),40,8.9,0.5,11.2,18,0.1,0.1,1.2,1.1,6
Metta World Peace (NYK),29,13.4,0.6,11.1,17,0.1,0.2,1.3,1.5,5.4
Melvin Ely (NOP),2,13.7,0,9.5,0,0,0,1,0,0
Maurice Harkless (ORL),80,24.5,1,17.1,80,0.1,0.2,2.2,2.3,4.5
Matthew Dellavedova (CLE),72,17.8,2.6,25.4,187,0.5,0.5,5,6.2,16.7
Matt Bonner (SAS),61,11.4,0.5,15.6,31,0,0.2,1.1,1.3,5.4
Matt Barnes (LAC),63,27.8,2,28.6,125,0.2,0.7,3.7,4.6,8
Mason Plumlee (BKN),69,18.5,0.9,19.1,60,0,0.3,1.7,2.1,5.4
Marvin Williams (UTA),66,25.5,1.2,28,78,0.1,0.3,2.6,2.9,5.5
Martell Webster (WAS),77,27.8,1.3,25.4,97,0.2,0.4,2.4,2.9,5
Marreese Speights (GSW),78,12.6,0.4,10.1,31,0.1,0.1,1,0.9,3.6
Marquis Teague (CHI),19,12.8,1.5,23.8,28,0.2,0.5,3.5,3.5,13
Marquis Teague (TOTAL),40,11.1,1.4,18.8,58,0.2,0.4,3.3,3.5,15.3
Marquis Teague (BKN),21,9.6,1.4,14.1,30,0.1,0.3,3.1,3.6,18.1
Markieff Morris (PHX),81,26.7,1.8,25.9,144,0.3,0.4,3.6,4.4,7.9
Mario Chalmers (MIA),73,30,4.9,52.8,357,0.6,1.3,8.6,11.2,17.9
Marcus Thornton (SAC),45,24.4,1,15.4,44,0.2,0.2,1.9,2.4,4.7
Marcus Thornton (BKN),26,23.9,1.2,18.6,30,0.1,0.2,2.2,2.7,5.5
Marcus Thornton (TOTAL),71,24.3,1,16.5,74,0.2,0.2,2,2.5,5
Marcus Morris (PHX),82,22.1,1.1,21.8,88,0.2,0.3,2.2,2.5,5.5
Marco Belinelli (SAS),80,25.4,2.2,27.4,179,0.2,0.9,3.9,5.3,10
Marcin Gortat (WAS),80,32.9,1.7,44.3,135,0.1,0.5,3.9,3.9,5.7
Marc Gasol (MEM),59,33.5,3.6,47.5,215,0.3,0.8,7.5,8.3,11.9
MarShon Brooks (BOS),10,7.4,0.4,8,4,0.2,0.1,1.3,1,6.5
MarShon Brooks (LAL),18,12.7,1.2,10.7,21,0.1,0.2,2.1,2.8,10.7
MarShon Brooks (GSW),7,2.2,0,1.4,0,0.1,0.3,0,0,0
MarShon Brooks (TOTAL),35,9.1,0.7,8.1,25,0.1,0.2,1.5,1.7,9.2
Manu Ginobili (SAS),68,23,4.3,29.1,293,0.7,1,7.7,10.3,21.5
Manny Harris (LAL),9,20.1,1.2,16.1,11,0.1,0.4,2.8,3.2,7.7
Malcolm Thomas (SAS),1,14.8,0,21,0,0,1,1,0,0
Malcolm Thomas (UTA),7,6.9,0.3,10,2,0,0,0.9,0.7,4.9
Malcolm Thomas (TOTAL),8,7.9,0.3,11.4,2,0,0.1,0.9,0.6,3.8
Maalik Wayns (LAC),2,4.7,1,9,2,0,0,2,3,30.5
Luol Deng (TOTAL),63,35.3,2.9,33.3,183,0.4,0.7,5.4,6.8,9.2
Luol Deng (CLE),40,34,2.5,33.5,98,0.3,0.7,4.5,5.8,8.2
Luol Deng (CHI),23,37.5,3.7,33,85,0.6,0.7,7,8.5,10.9
Luke Ridnour (MIL),36,21.3,3.4,34.3,122,0.6,0.8,7,7.9,17.9
Luke Ridnour (TOTAL),60,18.9,2.9,33.5,175,0.5,0.9,6,6.9,17.4
Luke Ridnour (CHA),24,15.3,2.2,32.3,53,0.3,1,4.4,5.3,16.4
Luke Babbitt (NOP),27,17.6,1.1,20.3,29,0,0.3,1.7,2.5,6.9
Luis Scola (IND),82,17.1,1,26.1,81,0.1,0.3,2.1,2.4,6.8
Luc Mbah a Moute (TOTAL),64,15.7,0.6,12.6,36,0.1,0.1,1.2,1.3,4
Luc Mbah a Moute (SAC),9,22,1.7,19,15,0.1,0.1,2.6,4.1,9
Luc Mbah a Moute (MIN),55,14.7,0.4,11.6,21,0.1,0.1,0.9,0.9,2.8
Louis Williams (ATL),59,24.2,3.5,30.7,206,0.4,0.7,6.2,8.1,16.1
Lou Amundson (NOP),18,10.3,0.3,13.3,6,0.1,0.1,1,0.7,3.4
Lou Amundson (CHI),1,1.1,0,3,0,0,0,0,0,0
Lou Amundson (TOTAL),19,9.8,0.3,12.7,6,0,0,0,0,0
Lorenzo Brown (PHI),26,8.7,1.6,14.7,41,0.3,0.4,2.8,3.9,21.7
Leandro Barbosa (PHX),20,18.5,1.6,16.8,32,0.3,0.1,3.3,4.2,10.8
LeBron James (MIA),77,38,6.3,49.4,488,0.6,1.3,12,15.3,19.4
Lavoy Allen (IND),14,8,0.4,8.4,6,0.1,0.1,0.9,1.3,7.7
Lavoy Allen (TOTAL),65,16.6,1.1,25.3,71,0.2,0.3,2.2,2.7,7.7
Lavoy Allen (PHI),51,19,1.3,30,65,0.2,0.3,2.6,3,7.7
Larry Sanders (MIL),22,25.7,0.8,30.5,18,0.1,0.5,2.3,1.7,3.1
Landry Fields (TOR),29,10.2,0.6,11.3,16,0,0.1,1.2,1.3,6.2
Lance Thomas (NOP),5,8.5,0.6,4.8,3,0,0.2,0.6,1.4,7.9
Lance Stephenson (IND),78,35.4,4.6,39.2,359,0.5,0.9,8.7,10.7,14.4
LaMarcus Aldridge (POR),69,36.4,2.6,41.8,178,0.2,0.8,5.3,6.6,8.7
Kyrie Irving (CLE),71,35.3,6.1,56.4,433,0.6,1,11.8,13.9,18.9
Kyle Singler (DET),82,28.7,0.9,25.4,75,0.1,0.3,2,2.1,3.6
Kyle O'Quinn (ORL),69,17.3,1.1,24,78,0.2,0.3,2.3,2.6,7.2
Kyle Lowry (TOR),78,36.4,7.5,68.6,582,0.7,1.5,14.1,17.3,22.8
Kyle Korver (ATL),70,34.2,2.9,33.9,204,0.3,0.7,5.2,6.7,9.4
Kris Humphries (BOS),69,20.1,1,29.3,67,0.1,0.3,2.5,2.3,5.6
Kosta Koufos (MEM),80,17,0.5,20.7,39,0.1,0.3,1.1,1.1,3
Kobe Bryant (LAL),6,29.6,6.3,54.3,38,0.7,1.5,11.8,14,22.7
Klay Thompson (GSW),80,35.6,2.3,18.7,180,0.3,0.4,3.9,5.3,7.1
Kirk Hinrich (CHI),73,29.1,3.9,54.5,286,0.4,1.5,8.6,9.1,15
Khris Middleton (MIL),81,30.3,2.1,32.1,169,0.3,0.5,4.2,4.8,7.5
Kevin Seraphin (WAS),53,11,0.3,11.4,17,0.1,0.1,0.8,0.8,3.5
Kevin Martin (MIN),68,32.1,1.8,27,121,0.2,0.6,4,4.3,6.4
Kevin Love (MIN),77,36.5,4.4,60.8,341,0.8,0.6,8.5,10.2,13.5
Kevin Garnett (BKN),53,20.7,1.5,34.5,80,0.1,0.3,2.6,3.6,8.4
Kevin Durant (OKC),81,38.9,5.5,39.3,445,0.6,0.7,10.3,12.8,15.8
Kenyon Martin (NYK),32,19.9,1.6,20.4,50,0.1,0.4,2.9,3.5,8.5
Kentavious Caldwell-Pope (DET),80,19.9,0.7,15.6,55,0.1,0.3,1.4,1.6,3.8
Kent Bazemore (LAL),23,28.2,3.1,31.3,71,0.4,1.1,5,7,11.8
Kent Bazemore (TOTAL),67,13.7,1.4,15.3,91,0.2,0.5,2.4,3.1,11
Kent Bazemore (GSW),44,6.1,0.5,6.9,20,0.1,0.2,1.1,1.1,8.9
Kenneth Faried (DEN),80,27.4,1.2,26.9,96,0.1,0.4,2.3,2.9,5.1
Kendrick Perkins (OKC),62,19.6,1.1,24.2,67,0.1,0.2,1.9,2.5,6
Kendall Marshall (LAL),54,29.1,8.8,63,477,0.8,1.3,15.6,20,33
Kemba Walker (CHA),72,36,6.1,77.7,442,0.6,1.7,12.2,14,18.7
Kelly Olynyk (BOS),70,20.2,1.6,28.1,109,0.1,0.4,2.8,3.6,8.6
Keith Bogans (BOS),6,9.4,0.5,9.8,3,0,0,0.8,1.2,6
Kawhi Leonard (SAS),66,29.3,2,28.2,133,0.1,0.7,3.8,4.8,7.9
Justin Hamilton (CHA),1,3.8,0,2,0,0,0,0,0,0
Justin Hamilton (MIA),7,9.9,0,9.3,0,0,0.1,0,0,0
Justin Hamilton (TOTAL),8,9.1,0,8.4,0,0,0,0,0,0
Julyan Stone (TOR),21,5.7,0.6,9.7,12,0.2,0,1.6,1.6,13.1
Jrue Holiday (NOP),34,33.8,7.9,60.9,268,0.9,0.7,14.4,18.4,26.1
Josh Smith (DET),77,35.7,3.3,34.3,252,0.4,0.5,6.1,7.6,10.3
Josh Powell (HOU),1,19.5,0,15,0,0,0,1,0,0
Josh McRoberts (CHA),77,30.4,4.3,67.3,329,0.5,0.7,7.9,9.6,15.1
Josh Harrellson (DET),32,10,0.5,9.9,15,0,0.1,0.9,1,4.7
Josh Childress (NOP),4,6,0.5,5.5,2,0,0.3,0.5,1,8
Jose Juan Barea (MIN),79,18.7,3.8,35.2,303,0.5,0.5,8,8.7,22.4
Jose Calderon (DAL),81,30.6,4.7,62.4,377,0.4,1.4,9.3,10.9,17
Jorge Gutierrez (BKN),15,16.2,2,25.3,30,0.1,0.6,4.5,4.7,14.1
Jordan Hill (LAL),72,20.9,0.8,24.9,54,0.1,0.3,1.5,2,4.6
Jordan Hamilton (HOU),21,16.7,0.9,16.1,18,0.1,0.2,1.7,1.9,5.3
Jordan Hamilton (TOTAL),60,17.1,0.9,15.2,52,0.1,0.2,1.8,2.1,5.8
Jordan Hamilton (DEN),39,17.3,0.9,14.7,34,0.1,0.2,1.9,2.2,6.1
Jordan Farmar (LAL),41,22.4,4.9,44.9,199,0.6,0.9,10,12,25.7
Jordan Crawford (GSW),42,15.8,1.4,13.4,57,0.3,0.2,2.7,3.3,9.9
Jordan Crawford (TOTAL),81,23.1,3.5,34.6,281,0.4,0.6,7,8.2,17
Jordan Crawford (BOS),39,31,5.7,57.4,224,0.5,1.1,11.6,13.5,20.8
Jonas Valanciunas (TOR),80,28.4,0.7,33.7,57,0,0.3,1.5,1.7,2.8
Jonas Jerebko (DET),64,11.7,0.6,13.8,39,0,0.1,1.2,1.4,5.6
Jon Leuer (MEM),49,13.2,0.4,17.2,20,0.1,0.2,1.1,0.9,3.3
John Wall (WAS),81,36.6,8.9,70.5,717,1,1.7,17.2,21.3,28
John Salmons (TOTAL),77,22.2,1.9,20.6,144,0.2,0.5,4.3,4.5,9.8
John Salmons (TOR),60,21.4,1.7,20.1,103,0.2,0.5,4.1,4.2,9.5
John Salmons (SAC),17,24.8,2.4,22.4,41,0.1,0.5,4.9,5.6,10.8
John Lucas III (UTA),42,14.1,1,23.9,42,0.2,0.5,2.7,2.3,7.9
John Jenkins (ATL),13,12.2,0.8,12,11,0,0.4,1.4,2.1,8.2
John Henson (MIL),69,26.7,1.6,31.7,113,0.2,0.5,3.1,4,7.1
Joel Freeland (POR),52,14,0.7,12.7,36,0.1,0.3,1.2,1.9,6.4
Joel Anthony (TOTAL),33,5.7,0.1,4.6,2,0,0,0,0,0
Joel Anthony (BOS),21,7.1,0.1,6,2,0,0,0.4,0.3,1.9
Joel Anthony (MIA),12,3.1,0,2.2,0,0,0,0,0,0
Joe Johnson (BKN),78,32.7,2.7,28.9,211,0.2,0.8,5.4,6.6,9.7
Jodie Meeks (LAL),77,33.4,1.8,27.1,138,0.3,0.5,3.8,4.4,6.4
Joakim Noah (CHI),80,35.4,5.4,67.3,431,0.7,0.6,10.3,12.3,16.7
Jimmy Butler (CHI),67,38.7,2.6,35.5,175,0.3,0.9,5.3,6.1,7.5
Jimmer Fredette (TOTAL),49,10.7,1.3,15.3,64,0.2,0.2,2.6,2.9,13.1
Jimmer Fredette (SAC),41,11.4,1.5,16,61,0.2,0.2,2.8,3.3,13.9
Jimmer Fredette (CHI),8,7,0.4,11.9,3,0.1,0.6,1.3,1,6.8
Jerryd Bayless (BOS),41,25.5,3.1,34.4,128,0.3,0.7,6.7,7.3,13.8
Jerryd Bayless (TOTAL),72,23.6,2.7,32.2,194,0.2,0.8,5.8,6.3,12.9
Jerryd Bayless (MEM),31,21.1,2.1,29.4,66,0.2,1,4.5,5,11.4
Jermaine O'Neal (GSW),43,20.2,0.6,15.8,25,0.1,0.2,1,1.4,3.4
Jeremy Tyler (NYK),41,9.8,0.2,7,8,0,0,0.4,0.5,2.5
Jeremy Lin (HOU),71,29.1,4.1,41.9,294,0.6,0.8,7.4,10.1,16.6
Jeremy Lamb (OKC),78,19.9,1.5,16,115,0.2,0.3,2.7,3.5,8.5
Jeremy Evans (UTA),66,18.4,0.7,23.6,44,0.1,0.2,1.6,1.5,4
Jeff Withey (NOP),58,11.9,0.4,13.6,26,0.1,0.1,0.7,1.1,4.3
Jeff Teague (ATL),78,32.4,6.7,55.8,526,0.7,1.6,13.7,16.1,23.8
Jeff Taylor (CHA),26,24.4,0.8,19.7,22,0.2,0.4,2,2,3.9
